"cat_no","context","figure_num","gender","qualifier","n_descriptors","n_in_dict","coverage_pct","dirmean_Warmth","dirmean_Competence","dirmean_Sociability","dirmean_Morality","dirmean_Ability","dirmean_Assertiveness","dirmean_Status","dirmean_Beliefs","dirmean_health","dirmean_deviance","dirmean_beauty","dirmean_Politics","dirmean_Religion","n_dirmean_Warmth","n_dirmean_Competence","n_dirmean_Sociability","n_dirmean_Morality","n_dirmean_Ability","n_dirmean_Assertiveness","n_dirmean_Status","n_dirmean_Beliefs","n_dirmean_health","n_dirmean_deviance","n_dirmean_beauty","n_dirmean_Politics","n_dirmean_Religion","asymmetry"
"P000003","religious",1,"Male","",24,18,75,0.25,0.642857142857143,0.333333333333333,0,0.833333333333333,0.5,1,NA,NA,NA,NA,NA,NA,4,7,3,1,3,4,5,0,0,0,0,0,0,-0.392857142857143
"P000003","religious",2,"Female","",21,11,52.3809523809524,1,0.333333333333333,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,3,3,3,0,2,2,0,0,0,0,0,0,0,0.666666666666667
"P000003","religious",3,"Female","",19,11,57.8947368421053,0.5,0.375,1,0,0.833333333333333,-1,NA,NA,-1,NA,NA,NA,NA,2,4,1,1,3,1,0,0,2,0,0,0,0,0.125
"P000003","religious",4,"Female","",19,10,52.6315789473684,1,-0.333333333333333,1,NA,0,-1,NA,0,NA,NA,NA,0,NA,3,3,3,0,2,1,0,1,0,0,0,1,0,1.33333333333333
"P000003","religious",5,"Male","",26,20,76.9230769230769,0.25,0.642857142857143,0.333333333333333,0,0.833333333333333,0.5,1,NA,-1,NA,NA,NA,NA,4,7,3,1,3,4,4,0,1,0,0,0,0,-0.392857142857143
"P000004","religious",1,"Male","",26,14,53.8461538461538,0.5,1,0.333333333333333,1,1,1,1,1,NA,NA,NA,NA,1,4,3,3,1,2,1,4,2,0,0,0,0,2,-0.5
"P000004","religious",2,"Female","",22,16,72.7272727272727,0.714285714285714,0.25,0.833333333333333,0,0.5,0,1,NA,NA,NA,NA,NA,NA,7,2,6,1,1,1,1,0,0,0,0,0,0,0.464285714285714
"P000004","religious",3,"Female","",19,8,42.1052631578947,NA,0,NA,NA,0,0,1,0,NA,NA,NA,0,NA,0,3,0,0,2,1,1,1,0,0,0,1,0,NA
"P000004","religious",4,"Female","",22,13,59.0909090909091,0.8,0.75,1,0.5,0.75,NA,1,NA,NA,NA,NA,NA,NA,5,2,4,2,2,0,1,0,0,0,0,0,0,0.05
"P000004","religious",5,"Female","",18,10,55.5555555555556,0.333333333333333,-0.25,0,0.5,0.5,-1,-1,1,NA,NA,NA,NA,1,3,2,1,2,1,1,1,2,0,0,0,0,2,0.583333333333333
"P000005","secular",1,"Male","",30,17,56.6666666666667,0.666666666666667,0.7,1,0.5,0.75,0.666666666666667,1,1,NA,NA,NA,1,NA,3,5,1,2,2,3,6,1,0,0,0,1,0,-0.0333333333333333
"P000006","religious",1,"Female","",23,16,69.5652173913043,0.625,0.7,0.714285714285714,0.5,0.833333333333333,0.5,1,1,NA,NA,NA,NA,1,8,5,7,2,3,2,1,1,0,0,0,0,1,-0.075
"P000006","religious",2,"Male","",20,9,45,0.333333333333333,0.75,0.5,0,0.75,NA,1,1,NA,NA,NA,NA,1,3,2,2,1,2,0,2,2,0,0,0,0,2,-0.416666666666667
"P000006","religious",3,"Male","",17,9,52.9411764705882,0.75,0.833333333333333,1,0.666666666666667,0.75,-1,1,1,NA,NA,NA,NA,1,4,3,1,3,2,1,2,1,0,0,0,0,1,-0.0833333333333334
"P000006","religious",4,"Female","",24,18,75,0.6,0.75,0.666666666666667,0.5,0.9,0,1,1,NA,NA,NA,NA,1,5,6,3,2,5,1,2,2,0,0,0,0,2,-0.15
"P000006","religious",5,"Male","",16,7,43.75,0.333333333333333,0.75,0.5,0,0.75,NA,NA,1,NA,NA,NA,NA,1,3,2,2,1,2,0,0,1,0,0,0,0,1,-0.416666666666667
"P000007","secular",1,"Male","",36,22,61.1111111111111,0.625,0.916666666666667,0.75,0.5,0.875,0.933333333333333,0.833333333333333,NA,NA,NA,NA,NA,NA,4,14,2,2,4,10,7,0,0,0,0,0,0,-0.291666666666667
"P000008","secular",1,"Female","",37,19,51.3513513513513,0.1,0.916666666666667,0.333333333333333,-0.25,0.875,1,0.7,1,NA,NA,NA,1,NA,5,6,3,2,4,2,5,1,0,0,0,1,0,-0.816666666666667
"P000009","secular",1,"Female","",30,19,63.3333333333333,0.25,0.65,1,0,0.875,0.5,1,1,NA,NA,NA,1,1,4,10,1,3,4,6,2,2,0,0,0,1,1,-0.4
"P000010","secular",1,"Male","",37,22,59.4594594594595,0.25,0.65,1,0,0.875,0.5,1,NA,NA,NA,NA,NA,NA,4,10,1,3,4,6,3,0,0,0,0,0,0,-0.4
"P000011","secular",1,"Female","",30,15,50,0.333333333333333,0.928571428571429,0.5,0,0.875,0.333333333333333,0.833333333333333,NA,NA,NA,NA,NA,NA,3,7,2,1,4,3,3,0,0,0,0,0,0,-0.595238095238095
"P000012","religious",1,"Male","",22,10,45.4545454545455,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,3,0,0,1,2,2,0,0,0,0,0,0,NA
"P000012","religious",2,"Male","",22,14,63.6363636363636,0,0.25,0.5,-1,1,-0.5,NA,NA,NA,NA,NA,NA,NA,3,4,2,1,2,2,0,0,0,0,0,0,0,-0.25
"P000012","religious",3,"Female","",21,13,61.9047619047619,0.5,-0.333333333333333,1,0,1,-1,1,NA,NA,NA,NA,NA,NA,2,3,1,1,1,2,1,0,0,0,0,0,0,0.833333333333333
"P000012","religious",4,"Male","",18,8,44.4444444444444,0,0,0,NA,1,-1,1,NA,NA,NA,NA,NA,NA,1,2,1,0,1,1,1,0,0,0,0,0,0,0
"P000012","religious",5,"Male","",19,9,47.3684210526316,0,0,0,NA,1,-1,0.5,NA,NA,NA,NA,NA,NA,1,2,1,0,1,1,2,0,0,0,0,0,0,0
"P000013","secular",1,"Male","",31,21,67.741935483871,0.5,0.95,1,0,0.875,1,1,NA,NA,NA,NA,NA,NA,2,10,1,1,4,6,5,0,0,0,0,0,0,-0.45
"P000013","secular",2,"Female","",30,16,53.3333333333333,0.6,0,0.5,1,1,-1,1,1,NA,NA,NA,NA,1,5,2,4,2,1,1,2,2,0,0,0,0,2,0.6
"P000013","secular",3,"Male","",24,16,66.6666666666667,0.333333333333333,-0.125,0,0.5,0.75,-1,0,NA,NA,NA,NA,NA,NA,3,4,1,2,2,2,6,0,0,0,0,0,0,0.458333333333333
"P000013","secular",4,"Male","",26,15,57.6923076923077,0.5,0.1,NA,0.5,0.75,-0.333333333333333,0.5,1,NA,NA,NA,NA,1,2,5,0,2,2,3,4,1,0,0,0,0,1,0.4
"P000013","secular",5,"Male","",19,11,57.8947368421053,0,0.7,0,0,0.75,0.666666666666667,1,NA,NA,NA,NA,NA,NA,2,5,1,1,2,3,1,0,0,0,0,0,0,-0.7
"P000014","secular",1,"Female","",34,17,50,0.833333333333333,0.2,0.833333333333333,1,0,0.333333333333333,-1,NA,NA,NA,NA,NA,NA,6,5,6,1,2,3,1,0,0,0,0,0,0,0.633333333333333
"P000015","religious",1,"Female","",23,18,78.2608695652174,0,-0.125,0,0.5,0.75,-1,1,0.666666666666667,NA,NA,NA,0,1,3,4,2,2,2,2,1,3,0,0,0,1,2,0.125
"P000015","religious",2,"Female","",26,16,61.5384615384615,0.5,0.785714285714286,NA,0.5,0.833333333333333,0.75,1,0,NA,NA,NA,0,NA,2,7,0,2,3,4,3,1,0,0,0,1,0,-0.285714285714286
"P000015","religious",3,"Male","",26,11,42.3076923076923,0,0.9,NA,0.5,0.833333333333333,1,NA,1,NA,NA,NA,NA,1,1,5,0,2,3,3,0,1,0,0,0,0,1,-0.9
"P000015","religious",4,"Male","",22,10,45.4545454545455,0,0.875,NA,0.5,0.833333333333333,1,NA,1,NA,NA,NA,NA,1,1,4,0,2,3,2,0,1,0,0,0,0,1,-0.875
"P000015","religious",5,"Male","",19,9,47.3684210526316,0,0.875,NA,0.5,0.833333333333333,1,NA,1,NA,NA,NA,NA,1,1,4,0,2,3,2,0,1,0,0,0,0,1,-0.875
"P000016","secular",1,"Male","",38,22,57.8947368421053,0.25,0.875,1,-0.5,0.916666666666667,0.5,0.833333333333333,NA,NA,NA,NA,NA,NA,4,12,2,2,6,6,3,0,0,0,0,0,0,-0.625
"P000017","religious",1,"Female","",28,16,57.1428571428571,-0.5,-0.214285714285714,-1,0,0.75,-0.6,1,NA,-1,NA,NA,NA,NA,2,7,1,1,2,5,1,0,1,0,0,0,0,-0.285714285714286
"P000018","religious",1,"Female","",23,13,56.5217391304348,0.857142857142857,0.25,0.833333333333333,1,1,-0.5,1,NA,NA,NA,NA,NA,NA,7,4,6,2,2,2,1,0,0,0,0,0,0,0.607142857142857
"P000018","religious",2,"Male","",22,12,54.5454545454545,0.666666666666667,0.833333333333333,1,0,0.75,1,1,NA,NA,NA,NA,NA,NA,3,3,2,1,2,1,3,0,0,0,0,0,0,-0.166666666666667
"P000018","religious",3,"Female","",19,12,63.1578947368421,0.6,0.125,0.75,0.5,0.75,-0.5,1,0,NA,NA,NA,0,NA,5,4,4,2,2,2,1,1,0,0,0,1,0,0.475
"P000018","religious",4,"Male","",22,12,54.5454545454545,1,1,1,NA,1,1,1,NA,-1,NA,NA,NA,NA,1,2,1,0,1,1,4,0,1,0,0,0,0,0
"P000018","religious",5,"Unknown","Baby Jesus",21,11,52.3809523809524,0.75,-1,0,1,-1,-1,1,1,NA,NA,NA,NA,1,4,2,1,3,1,1,1,2,0,0,0,0,2,1.75
"P000019","religious",1,"Female","",27,18,66.6666666666667,0.5,0.916666666666667,0.5,0.666666666666667,0.833333333333333,1,1,-0.5,NA,-1,NA,-0.5,NA,10,6,8,3,3,3,3,1,0,1,0,1,0,-0.416666666666667
"P000019","religious",2,"Female","",23,10,43.4782608695652,0.5,-0.125,0,0.666666666666667,0.75,-1,-0.333333333333333,NA,NA,NA,NA,NA,NA,4,4,1,3,2,2,3,0,0,0,0,0,0,0.625
"P000019","religious",3,"Female","",23,13,56.5217391304348,0.857142857142857,0.625,1,0.5,0.833333333333333,0,1,NA,-1,NA,NA,NA,NA,7,4,6,2,3,1,1,0,1,0,0,0,0,0.232142857142857
"P000019","religious",4,"Male","",20,11,55,0.75,0.1,1,0.666666666666667,0.833333333333333,-1,1,NA,NA,NA,NA,NA,NA,4,5,1,3,3,2,3,0,0,0,0,0,0,0.65
"P000019","religious",5,"Unknown","Child",22,12,54.5454545454545,0.2,0.583333333333333,0.5,0,0.833333333333333,0.333333333333333,1,NA,NA,NA,NA,NA,NA,5,6,2,3,3,3,2,0,0,0,0,0,0,-0.383333333333333
"P000020","religious",1,"Male","",19,11,57.8947368421053,0.333333333333333,0.25,0.333333333333333,NA,1,-0.5,1,NA,NA,NA,NA,NA,NA,3,4,3,0,2,2,1,0,0,0,0,0,0,0.0833333333333333
"P000020","religious",2,"Female","",19,12,63.1578947368421,0.833333333333333,0.625,1,0.666666666666667,0.75,0.5,1,NA,NA,NA,NA,NA,NA,6,4,4,3,2,2,2,0,0,0,0,0,0,0.208333333333333
"P000020","religious",3,"Female","",21,13,61.9047619047619,0.666666666666667,0.625,1,0,0.75,0.5,1,0,NA,NA,NA,0,NA,3,4,2,1,2,2,1,1,0,0,0,1,0,0.0416666666666666
"P000020","religious",4,"Female","",18,10,55.5555555555556,0.75,0.9,1,0.5,0.875,1,1,NA,NA,NA,NA,NA,NA,4,5,3,2,4,1,4,0,0,0,0,0,0,-0.15
"P000020","religious",5,"Male","",20,12,60,NA,0.866666666666667,NA,NA,1,0.777777777777778,0.904761904761905,NA,NA,NA,NA,NA,NA,0,5,0,0,2,3,7,0,0,0,0,0,0,NA
"P000021","religious",1,"Male","",22,12,54.5454545454545,1,0.75,1,NA,1,0.5,1,NA,NA,NA,NA,NA,NA,1,4,1,0,2,2,3,0,0,0,0,0,0,0.25
"P000021","religious",2,"Male","",19,9,47.3684210526316,0,-0.125,NA,0,0.75,-1,1,NA,NA,NA,NA,NA,NA,1,4,0,1,2,2,1,0,0,0,0,0,0,0.125
"P000021","religious",3,"Female","",22,10,45.4545454545455,0,0.75,0,0,0.833333333333333,NA,1,1,NA,NA,NA,NA,1,3,2,2,1,3,0,1,2,0,0,0,0,2,-0.75
"P000021","religious",4,"Male","",17,9,52.9411764705882,0.666666666666667,0.833333333333333,1,0.5,0.833333333333333,NA,1,NA,NA,NA,NA,NA,NA,3,3,1,2,3,0,1,0,0,0,0,0,0,-0.166666666666667
"P000021","religious",5,"Male","",20,9,45,0.5,0.375,1,0,0.75,0,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,2,2,0,0,0,0,0,0,0,0.125
"P000022","religious",1,"Female","",20,12,60,0.6,0.566666666666667,0.666666666666667,0.5,0.5,0.583333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,5,5,3,2,1,4,2,0,0,0,0,0,0,0.0333333333333333
"P000022","religious",2,"Male","",20,7,35,-0.333333333333333,-0.25,0,-0.5,0.5,-1,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,0,0,0,0,0,0,0,-0.0833333333333333
"P000022","religious",3,"Female","",20,15,75,0.25,0.666666666666667,0.25,NA,NA,0.666666666666667,1,NA,NA,NA,NA,NA,NA,4,3,4,0,0,3,1,0,0,0,0,0,0,-0.416666666666667
"P000022","religious",4,"Male","",18,10,55.5555555555556,0.75,0.125,1,0.5,-0.25,0.5,NA,0,NA,NA,NA,0,NA,4,4,2,2,2,2,0,1,0,0,0,1,0,0.625
"P000022","religious",5,"Female","",21,15,71.4285714285714,0.666666666666667,0.9,0.75,0.5,0.833333333333333,1,1,NA,NA,NA,NA,NA,NA,6,5,4,2,3,2,2,0,0,0,0,0,0,-0.233333333333333
"P000023","religious",1,"Male","",29,14,48.2758620689655,0,1,0,1,1,1,0.75,1,NA,NA,NA,NA,1,2,2,2,1,1,1,4,3,0,0,0,0,3,-1
"P000023","religious",2,"Female","",29,15,51.7241379310345,0.5,0.5,0.666666666666667,0.5,0.833333333333333,0,NA,NA,NA,NA,NA,NA,NA,4,5,3,2,3,2,0,0,0,0,0,0,0,0
"P000023","religious",3,"Female","",24,12,50,0.75,0.5,1,0.5,0.833333333333333,-1,1,NA,NA,NA,NA,NA,NA,4,5,3,2,3,2,1,0,0,0,0,0,0,0.25
"P000023","religious",4,"Male","",21,14,66.6666666666667,0.5,0.9,0.5,0.5,0.75,1,1,0,NA,NA,NA,0,NA,4,5,2,2,2,3,3,1,0,0,0,1,0,-0.4
"P000023","religious",5,"Female","",24,9,37.5,0.333333333333333,0.875,0.5,0,0.75,1,NA,0,NA,NA,NA,0,NA,3,4,2,1,2,2,0,1,0,0,0,1,0,-0.541666666666667
"P000024","religious",1,"Male","",18,11,61.1111111111111,0.5,0.5,0,1,1,0,1,1,NA,NA,NA,NA,1,2,2,1,2,1,1,1,3,0,0,0,0,3,0
"P000024","religious",2,"Male","",21,12,57.1428571428571,0,-0.416666666666667,0,0,0.75,-1,1,NA,-1,NA,NA,NA,NA,2,6,1,1,2,4,1,0,1,0,0,0,0,0.416666666666667
"P000024","religious",3,"Male","",20,11,55,0.666666666666667,0.7,1,0.666666666666667,0.875,0.5,1,1,NA,NA,NA,NA,1,3,5,1,3,4,2,3,1,0,0,0,0,1,-0.0333333333333333
"P000024","religious",4,"Male","",15,12,80,0.5,0.9,0.5,0.666666666666667,0.833333333333333,1,1,1,NA,NA,NA,NA,1,4,5,2,3,3,2,2,1,0,0,0,0,1,-0.4
"P000024","religious",5,"Male","",24,11,45.8333333333333,0.333333333333333,0.2,0.333333333333333,NA,1,-1,NA,NA,NA,NA,NA,NA,NA,3,5,3,0,2,3,0,0,0,0,0,0,0,0.133333333333333
"P000025","religious",1,"Female","",20,10,50,0.6,0,0.6,NA,1,-1,NA,-0.5,NA,-1,NA,-0.5,NA,5,2,5,0,1,1,0,1,0,1,0,1,0,0.6
"P000025","religious",2,"Male","",17,8,47.0588235294118,0.333333333333333,-1,0.333333333333333,NA,NA,-1,NA,1,NA,NA,NA,NA,1,3,1,3,0,0,1,0,1,0,0,0,0,1,1.33333333333333
"P000025","religious",3,"Male","",17,10,58.8235294117647,1,0,1,1,1,-0.5,1,1,NA,NA,NA,NA,1,4,3,2,2,1,2,1,1,0,0,0,0,1,1
"P000025","religious",4,"Male","",16,10,62.5,1,0,1,1,1,-0.5,1,1,NA,NA,NA,NA,1,4,3,2,2,1,2,1,1,0,0,0,0,1,1
"P000025","religious",5,"Male","",13,7,53.8461538461538,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,2,0,0,1,1,2,0,0,0,0,0,0,NA
"P000026","religious",1,"Female","",24,11,45.8333333333333,0.5,0.333333333333333,0.5,NA,1,0,NA,NA,NA,NA,NA,NA,NA,4,3,4,0,2,2,0,0,0,0,0,0,0,0.166666666666667
"P000026","religious",2,"Male","",18,8,44.4444444444444,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,4,1,0,1,1,0,0,0,0,0,0,0
"P000026","religious",3,"Male","",17,8,47.0588235294118,0.25,1,0.25,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,4,0,0,1,1,0,0,0,0,0,0,-0.75
"P000026","religious",4,"Male","",17,7,41.1764705882353,0.333333333333333,1,0.333333333333333,NA,1,0,0,NA,NA,NA,NA,NA,NA,3,3,3,0,1,2,1,0,0,0,0,0,0,-0.666666666666667
"P000026","religious",5,"Male","",23,11,47.8260869565217,0,0.875,1,0,0.833333333333333,1,1,1,NA,NA,NA,NA,1,3,4,1,3,3,1,2,3,0,0,0,0,3,-0.875
"P000027","religious",1,"Male","",23,13,56.5217391304348,0.25,0.875,0,0.5,0.75,1,1,NA,NA,NA,NA,NA,NA,4,4,2,2,2,2,3,0,0,0,0,0,0,-0.625
"P000027","religious",2,"Female","",25,11,44,1,0.714285714285714,1,1,1,0.5,NA,NA,NA,NA,NA,NA,NA,3,7,3,1,4,4,0,0,0,0,0,0,0,0.285714285714286
"P000027","religious",3,"Male","",20,11,55,0.666666666666667,0,0.666666666666667,NA,1,-0.5,NA,0,NA,NA,NA,0,NA,3,3,3,0,1,2,0,1,0,0,0,1,0,0.666666666666667
"P000027","religious",4,"Male","",23,12,52.1739130434783,NA,0.333333333333333,NA,NA,1,0,1,NA,-1,NA,NA,NA,NA,0,3,0,0,1,2,1,0,1,0,0,0,0,NA
"P000027","religious",5,"Male","",22,14,63.6363636363636,0.333333333333333,0.9,0,0.5,0.75,1,1,NA,NA,NA,NA,NA,NA,3,5,1,2,2,3,6,0,0,0,0,0,0,-0.566666666666667
"P000028","religious",1,"Male","",23,12,52.1739130434783,0,1,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,5,1,0,2,4,4,0,0,0,0,0,0,-1
"P000028","religious",2,"Male","",24,11,45.8333333333333,0.25,0.333333333333333,1,0.25,1,-1,0.5,NA,-1,NA,NA,NA,NA,2,3,1,2,2,1,2,0,1,0,0,0,0,-0.0833333333333333
"P000028","religious",3,"Female","",23,14,60.8695652173913,0.5,0.875,1,0.333333333333333,0.833333333333333,1,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,3,1,0,0,0,0,0,0,0,-0.375
"P000028","religious",4,"Male","",24,10,41.6666666666667,1,0,NA,1,1,-1,1,NA,NA,NA,NA,NA,NA,2,2,0,2,1,1,1,0,0,0,0,0,0,1
"P000028","religious",5,"Male","",23,12,52.1739130434783,0.5,0.75,0.5,NA,1,0.5,1,0,NA,NA,NA,0,NA,2,4,2,0,2,2,1,1,0,0,0,1,0,-0.25
"P000029","religious",1,"Male","",22,9,40.9090909090909,1,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,3,0,0,0,0,0,0,0
"P000029","religious",2,"Female","",34,19,55.8823529411765,-0.166666666666667,0.9375,0,-0.25,0.833333333333333,1,1,NA,-1,NA,NA,NA,NA,3,8,1,2,3,5,1,0,2,0,0,0,0,-1.10416666666667
"P000029","religious",3,"Male","",29,22,75.8620689655172,0.666666666666667,0.6875,1,0.5,0.833333333333333,0.6,1,NA,-1,NA,NA,NA,NA,3,8,1,2,3,5,5,0,1,0,0,0,0,-0.0208333333333334
"P000029","religious",4,"Female","",26,14,53.8461538461538,1,0,1,1,0,NA,1,0,NA,NA,NA,0,NA,1,2,1,1,2,0,2,1,0,0,0,1,0,1
"P000029","religious",5,"Male","",29,22,75.8620689655172,0.666666666666667,0.6875,1,0.5,0.833333333333333,0.6,1,NA,-1,NA,NA,NA,NA,3,8,1,2,3,5,5,0,1,0,0,0,0,-0.0208333333333334
"P000030","secular",1,"Male","",18,8,44.4444444444444,0.5,0.625,1,0,0.75,0.5,NA,NA,NA,NA,NA,NA,NA,2,4,1,1,2,2,0,0,0,0,0,0,0,-0.125
"P000030","secular",2,"Female","",24,14,58.3333333333333,0.75,0.916666666666667,1,0.5,0.75,1,NA,0,-1,NA,NA,0,NA,4,6,3,2,2,4,0,1,1,0,0,1,0,-0.166666666666667
"P000030","secular",3,"Female","",27,16,59.2592592592593,1,0.6,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,1,5,0,1,2,3,2,0,0,0,0,0,0,0.4
"P000030","secular",4,"Male","",20,8,40,0.5,0.5,0.5,0.5,0.5,0.5,1,NA,NA,NA,NA,NA,NA,4,3,2,2,1,2,1,0,0,0,0,0,0,0
"P000030","secular",5,"Female","",23,14,60.8695652173913,-0.5,0.388888888888889,-1,0,0.833333333333333,0.285714285714286,NA,NA,-1,NA,NA,NA,NA,2,9,1,1,3,7,0,0,1,0,0,0,0,-0.888888888888889
"P000031","secular",1,"Female","",15,8,53.3333333333333,0.25,-0.375,0.333333333333333,0,0.5,-0.666666666666667,NA,NA,NA,NA,NA,NA,NA,4,4,3,1,1,3,0,0,0,0,0,0,0,0.625
"P000031","secular",2,"Female","",20,6,30,0.666666666666667,0.833333333333333,1,0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,1,2,0,0,0,0,0,0,0,-0.166666666666667
"P000031","secular",3,"Male","",16,7,43.75,0.5,0.916666666666667,NA,0.5,0.75,1,1,NA,NA,NA,NA,NA,NA,2,6,0,2,2,5,1,0,0,0,0,0,0,-0.416666666666667
"P000031","secular",4,"Female","",13,2,15.3846153846154,NA,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,NA
"P000031","secular",5,"Male","",17,7,41.1764705882353,0.5,0.916666666666667,1,0,0.833333333333333,1,NA,NA,NA,NA,NA,NA,NA,2,6,1,1,3,4,0,0,0,0,0,0,0,-0.416666666666667
"P000032","secular",1,"Male","",35,24,68.5714285714286,0.4,0.85,1,0,0.875,0.5,1,1,-1,NA,NA,1,NA,5,10,2,3,4,6,2,1,1,0,0,1,0,-0.45
"P000033","religious",1,"Female","",28,17,60.7142857142857,0.571428571428571,0.5,0.666666666666667,0,0.75,0.333333333333333,1,NA,NA,NA,NA,NA,NA,7,5,6,1,2,3,2,0,0,0,0,0,0,0.0714285714285714
"P000033","religious",2,"Male","",25,17,68,0.428571428571429,0.166666666666667,0.25,0.666666666666667,0.75,-1,0,NA,NA,NA,NA,NA,NA,7,3,4,3,2,1,2,0,0,0,0,0,0,0.261904761904762
"P000033","religious",3,"Male","",23,14,60.8695652173913,0.6,0.875,0.666666666666667,0.5,0.875,1,1,NA,NA,NA,NA,NA,NA,5,4,3,2,4,1,2,0,0,0,0,0,0,-0.275
"P000033","religious",4,"Male","",23,14,60.8695652173913,0.5,0.166666666666667,0.5,0.5,0.75,-1,1,NA,-1,NA,NA,NA,NA,4,3,2,2,2,1,1,0,1,0,0,0,0,0.333333333333333
"P000033","religious",5,"Female","",27,15,55.5555555555556,0.714285714285714,0.166666666666667,0.8,0.5,0.166666666666667,NA,0.5,0,NA,NA,NA,0,NA,7,3,5,2,3,0,2,1,0,0,0,1,0,0.547619047619048
"P000034","religious",1,"Male","",21,8,38.0952380952381,0.5,1,0.5,NA,1,NA,0.666666666666667,1,NA,NA,NA,NA,1,2,2,2,0,2,0,3,1,0,0,0,0,1,-0.5
"P000034","religious",2,"Male","",25,14,56,0.75,0.916666666666667,1,0,0.875,1,1,NA,NA,NA,NA,NA,NA,4,6,3,1,4,3,2,0,0,0,0,0,0,-0.166666666666667
"P000034","religious",3,"Male","",29,14,48.2758620689655,0.75,0.5,1,0.5,0.875,0,0,NA,-1,NA,NA,NA,NA,4,7,3,2,4,3,1,0,2,0,0,0,0,0.25
"P000034","religious",4,"Male","",21,14,66.6666666666667,0.5,0.928571428571429,1,0,0.875,1,1,0,NA,0,NA,0,NA,2,7,1,1,4,3,5,1,0,1,0,1,0,-0.428571428571429
"P000034","religious",5,"Male","",25,15,60,0.75,0.357142857142857,1,0.5,0.833333333333333,0,-0.333333333333333,NA,NA,NA,NA,NA,NA,4,7,2,2,3,4,3,0,0,0,0,0,0,0.392857142857143
